"year","regio","x"
"1991","Africa (excl MENA)",6
"1992","Africa (excl MENA)",3
"1993","Africa (excl MENA)",6
"1994","Africa (excl MENA)",6
"1996","Africa (excl MENA)",2
"1997","Africa (excl MENA)",2
"1998","Africa (excl MENA)",2
"1999","Africa (excl MENA)",5
"2000","Africa (excl MENA)",3
"2001","Africa (excl MENA)",3
"2002","Africa (excl MENA)",4
"2003","Africa (excl MENA)",4
"2004","Africa (excl MENA)",9
"2005","Africa (excl MENA)",5
"2006","Africa (excl MENA)",8
"2007","Africa (excl MENA)",3
"2008","Africa (excl MENA)",9
"2009","Africa (excl MENA)",2
"2010","Africa (excl MENA)",5
"2011","Africa (excl MENA)",3
"2012","Africa (excl MENA)",5
"2013","Africa (excl MENA)",8
"2014","Africa (excl MENA)",12
"2015","Africa (excl MENA)",8
"2016","Africa (excl MENA)",7
"2017","Africa (excl MENA)",5
"2018","Africa (excl MENA)",3
"2019","Africa (excl MENA)",4
"1990","Americas",1
"1991","Americas",1
"1995","Americas",1
"1996","Americas",5
"2013","Americas",1
"2014","Americas",1
"2015","Americas",2
"2016","Americas",2
"1990","Asia and Pacific",1
"1991","Asia and Pacific",1
"1994","Asia and Pacific",1
"1996","Asia and Pacific",1
"1998","Asia and Pacific",1
"1999","Asia and Pacific",1
"2000","Asia and Pacific",2
"2001","Asia and Pacific",2
"2002","Asia and Pacific",7
"2003","Asia and Pacific",6
"2005","Asia and Pacific",3
"2006","Asia and Pacific",5
"2007","Asia and Pacific",3
"2008","Asia and Pacific",4
"2009","Asia and Pacific",4
"2011","Asia and Pacific",3
"2012","Asia and Pacific",6
"2013","Asia and Pacific",2
"2015","Asia and Pacific",3
"2016","Asia and Pacific",2
"1996","Cross-regional",1
"1999","Cross-regional",1
"2006","Cross-regional",2
"2009","Cross-regional",1
"1991","Europe and Eurasia",5
"1992","Europe and Eurasia",17
"1993","Europe and Eurasia",16
"1994","Europe and Eurasia",12
"1995","Europe and Eurasia",11
"1996","Europe and Eurasia",9
"1997","Europe and Eurasia",5
"1998","Europe and Eurasia",6
"1999","Europe and Eurasia",3
"2001","Europe and Eurasia",5
"2003","Europe and Eurasia",1
"2013","Europe and Eurasia",1
"2014","Europe and Eurasia",1
"2015","Europe and Eurasia",3
"2016","Europe and Eurasia",2
"1994","Middle East and North Africa",1
"1995","Middle East and North Africa",3
"1996","Middle East and North Africa",1
"1997","Middle East and North Africa",2
"2001","Middle East and North Africa",1
"2003","Middle East and North Africa",1
"2004","Middle East and North Africa",1
"2005","Middle East and North Africa",1
"2006","Middle East and North Africa",2
"2011","Middle East and North Africa",1
"2012","Middle East and North Africa",2
"2014","Middle East and North Africa",3
"2015","Middle East and North Africa",4
"2017","Middle East and North Africa",3
"2018","Middle East and North Africa",1
"2019","Middle East and North Africa",1
