"Country","Region","freq"
"AFG","Europe and Eurasia",3
"AGO","Africa (excl MENA)",1
"AZE","Europe and Eurasia",2
"BDI","Africa (excl MENA)",12
"BHR","Middle East and North Africa",1
"BIH","Europe and Eurasia",48
"CAF","Africa (excl MENA)",10
"CHN","Cross-regional",1
"CMR","Africa (excl MENA)",1
"COD","Africa (excl MENA)",7
"COL","Americas",7
"COM","Africa (excl MENA)",1
"DJI","Africa (excl MENA)",1
"DZA","Middle East and North Africa",2
"ESP","Europe and Eurasia",1
"ETH","Africa (excl MENA)",3
"GBR","Europe and Eurasia",11
"GEO","Europe and Eurasia",8
"GTM","Americas",6
"HRV","Europe and Eurasia",11
"IDN","Asia and Pacific",4
"IDN","Cross-regional",1
"IND","Asia and Pacific",3
"IRQ","Cross-regional",1
"IRQ","Middle East and North Africa",3
"ISR","Middle East and North Africa",8
"KEN","Africa (excl MENA)",11
"KHM","Asia and Pacific",2
"LBR","Africa (excl MENA)",2
"LBY","Middle East and North Africa",4
"LKA","Asia and Pacific",13
"LSO","Africa (excl MENA)",1
"MAR","Middle East and North Africa",2
"MDA","Europe and Eurasia",1
"MKD","Europe and Eurasia",1
"MLI","Africa (excl MENA)",10
"MMR","Asia and Pacific",12
"MOZ","Africa (excl MENA)",2
"NER","Africa (excl MENA)",1
"NGA","Africa (excl MENA)",9
"NPL","Asia and Pacific",16
"PAK","Cross-regional",1
"PHL","Asia and Pacific",7
"RUS","Europe and Eurasia",4
"RWA","Africa (excl MENA)",4
"SDN","Africa (excl MENA)",17
"SLB","Asia and Pacific",3
"SLV","Americas",1
"SOM","Africa (excl MENA)",12
"SRB","Europe and Eurasia",3
"SSD","Africa (excl MENA)",24
"SYR","Middle East and North Africa",6
"TGO","Africa (excl MENA)",1
"TJK","Europe and Eurasia",1
"TUN","Middle East and North Africa",1
"UGA","Africa (excl MENA)",3
"YEM","Middle East and North Africa",3
"ZAF","Africa (excl MENA)",6
"ZWE","Africa (excl MENA)",3
